,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.1,std_ncluster_0.1,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,10B_norm_entr,100B_norm_entr,avg_ncluster_0.01,std_ncluster_0.01,avg_ncluster_0.00001,std_ncluster_0.00001
436,100,1.0,0.2,1.0,1.0,0.3,1000000,0.5,3.774605710604295,0.9459384034903312,0.138751352176,0.21664940148685485,28.17,6.622665397685207,3.2535407738535924,0.4904460213182169,97.0,0.5029960784,0.2560228927876812,0.500038,0.048900000000000006,0.4243999999999999,0.0868,0.1143,1.507552835553134,0.1890658243303488,1.9772985156908969,0.304036462856252,0.6730371877234329,0.48866935312418913,3.7735803983568594,0.9381045229887617,12.6883752346346,4.589872065267266
437,100,1.0,0.2,1.25,1.25,0.3,1000000,0.5,3.8084649227489593,0.6672720952186177,0.143934009528,0.22215857803992053,28.39,5.801245077088576,3.3677127710789434,0.3836147582161311,97.0,0.5010778957999998,0.26405391680446283,0.500031,0.0479,0.4035000000000001,0.12059999999999994,0.1017,1.554878505473874,0.15149829283417912,2.029663673876545,0.26404020196325245,0.6941654261767775,0.501610872967431,3.808564530047187,0.663885353946407,13.702308395543511,4.529300786239061
438,100,1.0,0.2,1.5,1.5,0.3,1000000,0.5,3.7496426923973374,0.8573054898905986,0.141064929432,0.21959930168678,28.71,5.213221342670649,3.282386591156562,0.4685437102913154,97.0,0.49597978859999997,0.2602247239696731,0.49995649999999997,0.0508,0.4278,0.1002,0.1145,1.5471021369443176,0.14719228558481354,2.0142068151314483,0.2641438613097919,0.6906937168725304,0.49779086647657544,3.7492512044793,0.8528841107497267,14.184147645642543,4.804577842034841
439,100,1.0,0.3,0.0,0.0,0.3,1000000,0.5,1.2298814693669249,0.12525915756016975,0.03649910482,0.11812606775965978,105.01,48.06886789395046,1.229881469366925,0.1246312881549276,97.0,0.502055806,0.11908575827407818,0.5000804999999999,0.0221,0.9004000000000001,0.0503,0.0458,0.3948342355840663,0.15058240723907446,0.3988064709470317,0.151623855648546,0.17627118417838386,0.09856099047913927,1.229881469366925,0.12463128815492759,1.714523067014023,0.7005447603645591
440,100,1.0,0.3,0.5,0.5,0.3,1000000,0.5,1.3358872967957989,0.2119182502216131,0.045277969967,0.12873938408921431,40.82,21.92843272138165,1.3153374752668945,0.18485936306734607,97.0,0.4970460807000001,0.13195698574600614,0.5001525,0.0202,0.8693000000000001,0.0553,0.0606,0.4835978953614578,0.18806502837401792,0.5893301394081142,0.2696650686737098,0.21589914449905523,0.1456469904345851,1.3359148090932793,0.21085278735339152,3.74623402510913,1.9522486588968924
441,100,1.0,0.3,0.75,0.75,0.3,1000000,0.5,1.3775393163903389,0.19857606083225493,0.050256243492,0.1350106503411445,29.9,10.465431310999676,1.3556693348762978,0.17317140647901774,97.0,0.4971950396,0.1408012917475969,0.5001404999999999,0.0317,0.8547000000000001,0.0561,0.06390000000000001,0.5850017247748479,0.2080964135618948,0.7124726340979598,0.2636043444087301,0.2611702265886815,0.1760804139893281,1.3775912055313608,0.1977510225188392,4.839168347367264,1.8896895096706186
442,100,1.0,0.3,1.0,1.0,0.3,1000000,0.5,1.4338911732891262,0.2107115116196352,0.056016006816,0.14242251509120318,27.85,5.6539518672492886,1.4084419525824865,0.18225168331775066,97.0,0.4971602678000001,0.1501974353859441,0.5001169999999999,0.0304,0.8376,0.0625,0.06990000000000003,0.6470521631966254,0.2417547574033712,0.7897142527055736,0.30195353287917753,0.2888722424567199,0.1951698997193364,1.4339489411015713,0.20972847927211127,5.506717960919994,1.9087984508133824
443,100,1.0,0.3,1.25,1.25,0.3,1000000,0.5,1.5372934164657093,0.2592384812862746,0.064941166312,0.15347332268495134,29.35,5.259671226810798,1.5015815357081994,0.21984641454310666,97.0,0.4939991745999999,0.16380614470752178,0.5001195000000002,0.0406,0.81,0.0703,0.08030000000000001,0.7322420839131937,0.2354836578384383,0.9114275842140556,0.3106305922217703,0.3269047301475571,0.2252501200314715,1.5374337339592317,0.25818095268299984,5.894428142085712,2.2128173878830357
444,100,1.0,0.3,1.5,1.5,0.3,1000000,0.5,1.5809801942320612,0.2451575901571243,0.069406350912,0.15842847352269487,29.93,5.605291511535588,1.5424072304213652,0.20679453600271688,97.0,0.4961320006000001,0.17102919035172653,0.499979,0.0426,0.7964999999999999,0.0739,0.0873,0.774635851206484,0.21125411023676044,0.969725442917815,0.2772793478741685,0.3458311526537434,0.23965784687454622,1.5809299432409236,0.24373802692506127,6.277377370144563,2.005361680733369
445,100,1.0,0.4,0.0,0.0,0.3,1000000,0.5,1.025284488631185,0.02595732246085981,0.005733984399000001,0.05071166150724914,33.71,38.29637084897236,1.0252844886311856,0.025827209749481002,97.0,0.5008397869,0.03953087970940912,0.4999885000000001,0.0052,0.9877000000000002,0.0071,0.0052,0.09151165268322743,0.1328338620605828,0.09230944949254027,0.13366971778747438,0.04085478393415297,0.022813347915252944,1.0252844886311856,0.025827209749481,2.9561649508242187,1.2210035944072852
