,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.001,std_ncluster_0.001,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr
191,100,1.0,0.2,0.0,0.0,0.5,1000000,0.05;0.5;0.95,2.784384694422573,0.1685539146041395,0.1798352860799999,0.2844451781587512,57.23,4.6206716027657775,3.155146014143664,0.4024307528596397,576,0.4950157019999999,0.33574983791187,0.5000745,0.2913,0.4284999999999999,0.2800999999999999,0.2913,1.0928163259350527,0.0782955609432793,1.0928163259350527,0.0782955609432793,0.2676734412906786
192,100,1.0,0.3,0.75,0.75,0.1,1000000,0.5,1.2179840442037475,0.2085973637314152,0.0287399773856,0.1007716927738393,66.47,19.405536542050275,1.8635302967624487,0.5501305034664301,576,0.5003007205599999,0.0938954725892881,0.5002715,0.0106999999999999,0.913,0.0298,0.0283999999999999,0.3549509522353323,0.2344058132614848,0.4428243697377751,0.3184594400018332,0.1084650001304342
193,100,1.0,0.5,1.0,1.0,0.2,1000000,0.0,1.0042720848274898,0.0222240334911836,0.0018715101567,0.0383575710157614,64.81,2.6119190669163563,1.5921870077200078,0.2668277819330418,576,0.00271755957,0.0092046127185891,0.0009624149999999,0.998,0.0,0.0013,0.998,0.0090504162764254,0.0442157263780279,0.009664180982154,0.0482555398702268,0.0023671357385109475
194,100,1.0,0.3,1.25,1.25,0.5,1000000,0.0,1.9471512349878624,0.9866785364726492,0.13594866508421,0.2602701357510065,49.99,19.990146562643297,5.529403982944409,1.2121962836498417,576,0.4506769612390001,0.2925591106746205,0.635491,0.2955,0.081,0.0066999999999999,0.2955,0.7073890873150952,0.2275949769445184,0.964794253529303,0.3745815759886129,0.236315830804131
195,100,1.0,0.2,0.0,0.0,0.3,1000000,0.5,2.77375855899081,0.2575917781543936,0.13645823052,0.2172336963266357,45.22,33.084397738773696,3.0841224215923524,0.4702272256897141,576,0.501930302,0.2553830260529731,0.500001,0.0003,0.4278,0.1186,0.0991,1.0948515553244529,0.1244817386219444,1.1347489052746842,0.1473640044707617,0.27794436930269356
196,100,1.0,0.2,0.5,0.5,0.3,1000000,0.0,3.9393415924666666,1.706748859429208,0.16028953864186,0.257463738879176,38.99,17.35691577592417,6.117825949673904,2.759255584189185,576,0.4697554879399999,0.3017128890186331,0.51047613,0.2290999999999999,0.2026999999999999,0.0681,0.2290999999999999,1.332297752227718,0.2292394858561625,1.8506011291998268,0.437937740316519,0.4532845648013983
197,100,1.0,0.2,1.5,1.5,0.1,1000000,0.05;0.5;0.95,2.8731518671921243,0.319845153727847,0.17755264593,0.2818172573395406,115.84,15.574986421188363,3.3803092486764736,0.5717648895394264,576,0.5194425470000001,0.3315129142997718,0.504501,0.2568,0.4112999999999999,0.3042999999999999,0.2568,1.2231782590988436,0.168932929410689,1.240387033789264,0.1818991017932432,0.3038192768419913
198,100,1.0,0.4,1.0,1.0,0.4,1000000,0.5,1.0716241141448055,0.0566864376365327,0.01466801732,0.0798614177320608,18.79,3.0823544719757803,1.665618112537609,0.445472640810443,576,0.501052691,0.0710041992569174,0.5000815,0.0157,0.9665000000000002,0.0178,0.0157,0.3298765680171949,0.2754200098060693,0.3446096579587553,0.2808197078354323,0.08440837756417799
199,100,1.0,0.3,1.5,1.5,0.3,1000000,0.05;0.5;0.95,2.307458093916683,0.3257553612528954,0.1466472738899999,0.2519185520624455,40.78,8.803787063909864,2.7530061380018624,0.4885707775599605,576,0.4935892009999999,0.2890493393637897,0.5001205,0.2247,0.565,0.2103,0.2247,0.9847112700439828,0.1638682760576464,0.98558114280111,0.1635106037722115,0.2414073526391036
200,100,1.0,0.5,1.0,1.0,0.4,1000000,0.05;0.5;0.95,4.141907733556383,1.479573431410984,0.0189548379,0.0482810976318798,1000000.0,0.0,20.6298509430253,5.8214659632102,576,0.48838995,0.0503753895487779,0.4942045,0.0,0.938,0.0,0.0001,0.7485888261573396,0.1752849939688836,1.8426101154970516,0.3274434003441828,0.4513272531411862
